vendor,plan_code,channel,country_code,status,reason,checked_at,evidence_url,price_kind,amount,currency,cny_estimate,verified_at,price_source
"anthropic","claude-max-20x-monthly","app_store","AU","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/au/app/id6473753684","exact","399.990000","AUD","1933.607293","2026-09-07T07:06:32.308Z","https://apps.apple.com/au/app/id6473753684"
"anthropic","claude-max-20x-monthly","app_store","BR","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/br/app/id6473753684","exact","1499.900000","BRL","1969.248390","2026-09-07T07:06:32.308Z","https://apps.apple.com/br/app/id6473753684"
"anthropic","claude-max-20x-monthly","app_store","CA","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/ca/app/id6473753684","exact","349.990000","CAD","1702.027688","2026-09-07T07:06:32.308Z","https://apps.apple.com/ca/app/id6473753684"
"anthropic","claude-max-20x-monthly","app_store","GB","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/gb/app/id6473753684","exact","249.990000","GBP","2269.868921","2026-09-07T07:06:32.308Z","https://apps.apple.com/gb/app/id6473753684"
"anthropic","claude-max-20x-monthly","app_store","ID","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/id/app/id6473753684","exact","3999000.000000","IDR","1521.747468","2026-09-07T07:06:32.308Z","https://apps.apple.com/id/app/id6473753684"
"anthropic","claude-max-20x-monthly","app_store","IN","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/in/app/id6473753684","exact","24900.000000","INR","1768.450644","2026-09-07T07:06:32.308Z","https://apps.apple.com/in/app/id6473753684"
"anthropic","claude-max-20x-monthly","app_store","JP","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/jp/app/id6473753684","exact","40000.000000","JPY","1718.024120","2026-09-07T07:06:32.308Z","https://apps.apple.com/jp/app/id6473753684"
"anthropic","claude-max-20x-monthly","app_store","PH","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/ph/app/id6473753684","exact","14990.000000","PHP","1605.683211","2026-09-07T07:06:32.308Z","https://apps.apple.com/ph/app/id6473753684"
"anthropic","claude-max-20x-monthly","app_store","SG","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/sg/app/id6473753684","exact","349.980000","SGD","1853.867164","2026-09-07T07:06:32.308Z","https://apps.apple.com/sg/app/id6473753684"
"anthropic","claude-max-20x-monthly","app_store","TR","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/tr/app/id6473753684","exact","12999.990000","TRY","1800.941785","2026-09-07T07:06:32.308Z","https://apps.apple.com/tr/app/id6473753684"
